EEID	Full Name	Job Title	Department	Business Unit	Gender	Age	Annual Salary	Bonus %	Country	City
E02387	Emily Davis	Sr. Manger	IT	Research & Development	Female	55	"$1,41,604 "	15%	United States	Seattle
E04105	Theodore Dinh	Technical Architect	IT	Manufacturing	Male	59	"$99,975"	0%	China	Chongqing
E02572	Luna Sanders	Director	Finance	Speciality Products	Female	50	"$1,63,099 "	20%	United States	Chicago
E02832	Penelope Jordan	Computer Systems Manager	IT	Manufacturing	Female	26	"$84,913"	7%	United States	Chicago
E01639	Austin Vo	Sr. Analyst	Finance	Manufacturing	Male	55	"$95,409"	0%	United States	Phoenix
E00644	Joshua Gupta	Account Representative	Sales	Corporate	Male	57	"$50,994"	0%	China	Chongqing
E01550	Ruby Barnes	Manager	IT	Corporate	Female	27	"$1,19,746 "	10%	United States	Phoenix
E04332	Luke Martin	Analyst	Finance	Manufacturing	Male	25	"$41,336"	0%	United States	Miami
E04533	Easton Bailey	Manager	Accounting	Manufacturing	Male	29	"$1,13,527 "	6%	United States	Austin
E03838	Madeline Walker	Sr. Analyst	Finance	Speciality Products	Female	34	"$77,203"	0%	United States	Chicago
E00591	Savannah Ali	Sr. Manger	Human Resources	Manufacturing	Female	36	"$1,57,333 "	15%	United States	Miami
E03344	Camila Rogers	Controls Engineer	Engineering	Speciality Products	Female	27	"$1,09,851 "	0%	United States	Seattle
E00530	Eli Jones	Manager	Human Resources	Manufacturing	Male	59	"$1,05,086 "	9%	United States	Austin
E04239	Everleigh Ng	Sr. Manger	Finance	Research & Development	Female	51	"$1,46,742 "	10%	China	Shanghai
E03496	Robert Yang	Sr. Analyst	Accounting	Speciality Products	Male	31	"$97,078"	0%	United States	Austin
E00549	Isabella Xi	Vice President	Marketing	Research & Development	Female	41	"2,49,270 ?"	30%	United States	Seattle
E00163	Bella Powell	Director	Finance	Research & Development	Female	65	"$1,75,837 "	20%	United States	Phoenix
E00884	Camila Silva	Sr. Manger	Marketing	Speciality Products	Female	64	"$1,54,828 "	13%	United States	Seattle
E04116	David Barnes	Director	IT	Corporate	Male	64	"$1,86,503 "	24%	United States	Columbus
E04625	Adam Dang	Director	Sales	Research & Development	Male	45	"$1,66,331 "	18%	China	Chongqing
E03680	Elias Alvarado	Sr. Manger	IT	Manufacturing	Male	56	"$1,46,140 "	10%	Brazil	Manaus
E04732	Eva Rivera	Director	Sales	Manufacturing	Female	36	"$1,51,703 "	21%	United States	Miami
E03484	Logan Rivera	Director	IT	Research & Development	Male	59	"$1,72,787 "	28%	Brazil	Rio de Janerio
E00671	Leonardo Dixon	Analyst	Sales	Speciality Products	Male	37	"$49,998"	0%	United States	Seattle
E02071	Mateo Her	Vice President	Sales	Speciality Products	Male	44	"$2,07,172 "	31%	China	Chongqing
E02206	Jose Henderson	Director	Human Resources	Speciality Products	Male	41	"$1,52,239 "	23%	United States	Columbus
E04545	Abigail Mejia	Quality Engineer	Engineering	Corporate	Female	56	"$98,581"	0%	Brazil	Rio de Janerio
E00154	Wyatt Chin	Vice President	Engineering	Speciality Products	Male	43	"$2,46,231 "	31%	United States	Seattle
E03343	Carson Lu	Engineering Manager	Engineering	Speciality Products	Male	64	"$99,354"	12%	China	Beijing
E00304	Dylan Choi	Vice President	IT	Corporate	Male	63	"$2,31,141 "	0%	China	Beijing
E02594	Ezekiel Kumar	IT Coordinator	IT	Research & Development	Male	28	"$54,775"	0%	United States	Columbus
E00402	Dominic Guzman	Analyst	Finance	Manufacturing	Male	65	"$55,499"	0%	Brazil	Manaus
E01994	Angel Powell	Analyst II	Sales	Research & Development	Male	61	"$66,521"	0%	United States	Seattle
E03549	Mateo Vu	Account Representative	Sales	Speciality Products	Male	30	"$59,100"	0%	China	Chongqing
E03247	Caroline Jenkins	Analyst	Finance	Research & Development	Female	27	"$49,011"	0%	United States	Chicago
E02074	Nora Brown	Enterprise Architect	IT	Manufacturing	Female	32	"$99,575"	0%	United States	Austin
E04152	Adeline Huang	Controls Engineer	Engineering	Manufacturing	Female	34	"$99,989"	0%	China	Chengdu
E01628	Jackson Perry	Vice President	Marketing	Research & Development	Male	27	"$2,56,420 "	30%	United States	Phoenix
E04285	Riley Padilla	Technical Architect	IT	Manufacturing	Female	35	"$78,940"	0%	United States	Miami
E01417	Leah Pena	Enterprise Architect	IT	Corporate	Female	57	"$82,872"	0%	Brazil	Manaus
E01754	Owen Lam	Sr. Business Partner	Human Resources	Speciality Products	Male	30	"$86,317"	0%	China	Chengdu
E03749	Kennedy Foster	Manager	Marketing	Speciality Products	Female	53	"$1,13,135 "	5%	United States	Austin
E03574	John Moore	Vice President	IT	Speciality Products	Male	52	"$1,99,808 "	32%	United States	Seattle
E04600	William Vu	Account Representative	Sales	Speciality Products	Male	37	"$56,037"	0%	China	Shanghai
E00586	Sadie Washington	Sr. Manger	Marketing	Research & Development	Female	29	"$1,22,350 "	0%	United States	Phoenix
E03538	Gabriel Holmes	Enterprise Architect	IT	Research & Development	Male	40	"$92,952"	0%	United States	Seattle
E02185	Wyatt Rojas	Computer Systems Manager	IT	Corporate	Male	32	"$79,921"	5%	United States	Austin
E03830	Eva Coleman	Director	IT	Research & Development	Female	37	"$1,67,199 "	20%	United States	Seattle
E03720	Dominic Clark	Quality Engineer	Engineering	Research & Development	Male	52	"$71,476"	0%		Phoenix
E03025	Lucy Alexander	Director	Engineering	Manufacturing	Female	45	"$1,89,420 "	20%	United States	Seattle
E04917	Everleigh Washington	HRIS Analyst	Human Resources	Research & Development	Female	64	"$64,057"	0%	United States	Phoenix
E00415	Leilani Butler	Analyst II	Marketing	Manufacturing	Female	27	"$68,728"	0%	United States	Phoenix
E02862	Peyton Huang	Sr. Manger	IT	Manufacturing	Female	25	"$1,25,633 "	11%	China	Beijing
E04207	John Contreras	Analyst II	Marketing	Manufacturing	Male	35	"$66,889"	0%	United States	Columbus
E02139	Rylee Yu	Director	Accounting	Research & Development	Female	36	"$1,78,700 "	29%	United States	Seattle
E01797	Piper Lewis	Field Engineer	Engineering	Research & Development	Female	33	"$83,990"	0%	United States	Chicago
E01839	Stella Alexander	Automation Engineer	Engineering	Corporate	Female	52	"$1,02,043 "	0%	United States	Chicago
E01633	Addison Do	Operations Engineer	Engineering	Manufacturing	Female	46	"$90,678"	0%	United States	Columbus
E01848	Zoey Jackson	Business Partner	Human Resources	Manufacturing	Female	46	"$59,067"	0%	United States	Miami
E00716	John Chow	Sr. Manger	Marketing	Research & Development	Male	45	"$1,35,062 "	15%	China	Chengdu
E00699	Ava Ayala	Sr. Manger	IT	Corporate	Female	55	"$1,59,044 "	10%	Brazil	Manaus
E00502	Natalia Salazar	Sr. Analyst	Accounting	Manufacturing	Female	44	"$74,691"	0%	Brazil	Manaus
E04000	Skylar Carrillo	Engineering Manager	Engineering	Corporate	Female	44	"$92,753"	13%	United States	Austin
E02112	Christian Sanders	Vice President	Human Resources	Speciality Products	Male	45	"$2,36,946 "	37%	United States	Seattle
E03824	Penelope Coleman	Analyst	Finance	Corporate	Female	36	"$48,906"	0%	United States	Miami
E03906	Piper Richardson	Sr. Analyst	Sales	Corporate	Female	38	"$80,024"	0%	United States	Columbus
E00436	Everly Walker	HRIS Analyst	Human Resources	Speciality Products	Female	41	"$54,415"	0%	United States	Seattle
E04798	Aurora Ali	Manager	Marketing	Research & Development	Female	30	"$1,20,341 "	7%	United States	Seattle
E01249	Penelope Guerrero	Vice President	IT	Speciality Products	Female	43	"$2,08,415 "	35%	United States	Seattle
E03349	Anna Mehta	Cloud Infrastructure Architect	IT	Speciality Products	Female	32	"$78,844"	0%	United States	Seattle
E02966	William Foster	Field Engineer	Engineering	Manufacturing	Male	58	"$76,354"	0%	United States	Phoenix
E01499	Jade Rojas	Director	Finance	Speciality Products	Female	37	"$1,65,927 "	20%	United States	Phoenix
E00105	Isla Espinoza	Manager	Accounting	Speciality Products	Female	38	"$1,09,812 "	9%	Brazil	Manaus
E00665	David Chu	Controls Engineer	Engineering	Corporate	Male	55	"$86,299"	0%	United States	Seattle
E00791	Thomas Padilla	Vice President	Marketing	Research & Development	Male	57	"$2,06,624 "	40%	Brazil	Sao Paulo
E01540	Miles Salazar	IT Coordinator	IT	Manufacturing	Male	36	"$53,215"	0%	Brazil	Sao Paulo
E04474	Mila Hong	Test Engineer	Engineering	Research & Development	Female	30	"$86,858"	0%	China	Chongqing
E03417	Benjamin Moua	Computer Systems Manager	IT	Manufacturing	Male	40	"$93,971"	8%	China	Chongqing
E00254	Samuel Morales	Analyst II	Finance	Corporate	Male	34	"$57,008"	0%	United States	Phoenix
E02166	John Soto	Sr. Manger	Finance	Manufacturing	Male	60	"$1,41,899 "	15%	United States	Phoenix
E00935	Joseph Martin	Analyst II	Marketing	Corporate	Male	41	"$64,847"	0%	United States	Miami
E01525	Jose Ross	Engineering Manager	Engineering	Research & Development	Male	53	"$1,16,878 "	11%	United States	Miami
E00386	Parker James	Quality Engineer	Engineering	Speciality Products	Male	45	"$70,505"	0%	United States	Austin
E00416	Everleigh Fernandez	Director	Engineering	Research & Development	Female	30	"$1,89,702 "	28%	Brazil	Manaus
E03383	Lincoln Hall	Director	Accounting	Speciality Products	Male	26	"$1,80,664 "	27%	United States	Chicago
E01516	Willow Mai	Business Partner	HR	Manufacturing	Female	45	"$48,345"	0%	China	Chengdu
E01234	Jack Cheng	Director	Human Resources	Manufacturing	Male	42	"$1,52,214 "	30%	China	Beijing
E03440	Genesis Navarro	Cloud Infrastructure Architect	IT	Corporate	Female	41	"$69,803"	0%	Brazil	Manaus
E00431	Eliza Hernandez	Network Architect	IT	Corporate	Female	48	"$76,588"	0%	Brazil	Rio de Janerio
E01258	Gabriel Brooks	Network Engineer	IT	Manufacturing	Male	29	"$84,596"	0%	United States	Miami
E00440	Jack Huynh	Manager	Marketing	Research & Development	Male	27	"$1,14,441 "	10%	China	Chongqing
E00595	Everly Chow	Sr. Manger	Finance	Speciality Products	Female	33	"$1,40,402 "	15%	China	Beijing
E00972	Amelia Salazar	Analyst II	Finance	Corporate	Female	26	"$59,817"	0%	Brazil	Sao Paulo
E04562	Xavier Zheng	Account Representative	Sales	Manufacturing	Male	31	"$55,854"	0%	United States	Austin
E02802	Matthew Chau	Sr. Business Partner	Human Resources	Research & Development	Male	53	"$95,998"	0%	United States	Seattle
E01427	Mia Cheng	Sr. Manger	Sales	Manufacturing	Female	34	"$1,54,941 "	13%	United States	Phoenix
E04568	Rylee Yu	Vice President	Finance	Speciality Products	Female	54	"$2,47,022 "	30%	China	Beijing
E04931	Zoe Romero	Network Architect	IT	Manufacturing	Female	32	"$88,072"	0%	Brazil	Sao Paulo
E00443	Nolan Bui	Computer Systems Manager	IT	Research & Development	Male	28	"$67,925"	8%	China	Shanghai
E03890	Nevaeh Jones	Vice President	Sales	Manufacturing	Female	30	"$2,19,693 "	30%	United States	Austin
E01194	Samantha Adams	Test Engineer	Engineering	Research & Development	Female	45	"$61,773"	0%	United States	Seattle
E02875	Madeline Shin	Computer Systems Manager	IT	Speciality Products	Female	48	"$74,546"	9%	United States	Seattle
E04959	Noah King	Development Engineer	Engineering	Speciality Products	Male	56	"$62,575"	0%	United States	Miami
E03816	Leilani Chow	Director	Human Resources	Corporate	Female	27	"$1,99,041 "	16%	China	Beijing
E01261	Connor Simmons	Analyst II	Accounting	Speciality Products	Male	55	"$52,310"	0%	United States	Miami
E03612	Grayson Cooper	Sr. Manger	Finance	Speciality Products	Male	64	"$1,59,571 "	10%	United States	Columbus
E01388	Ivy Soto	Field Engineer	Engineering	Research & Development	Female	50	"$91,763"	0%	United States	Austin
E03875	Aurora Simmons	Development Engineer	Engineering	Corporate	Female	51	"$96,475"	0%	United States	Austin
E04413	Andrew Thomas	Controls Engineer	Engineering	Manufacturing	Male	36	"$1,13,781 "	0%	United States	Columbus
E00691	Ezekiel Desai	Director	Finance	Research & Development	Male	42	"$1,66,599 "	26%	United States	Seattle
E03047	Gabriella Gupta	Sr. Account Representative	Sales	Corporate	Female	41	"$95,372"	0%	China	Shanghai
E04903	Skylar Liu	Director	IT	Research & Development	Female	29	"$1,61,203 "	15%	China	Chengdu
E04735	Nova Coleman	System Administratorÿ	IT	Manufacturing	Female	44	"$74,738"	0%	United States	Miami
E02850	Evelyn Dinh	Director	Sales	Research & Development	Female	41	"$1,71,173 "	21%	United States	Columbus
E03583	Brooks Marquez	Vice President	Sales	Corporate	Male	61	"$2,01,464 "	37%	United States	Chicago
E02017	Connor Joseph	Director	Human Resources	Corporate	Male	50	"$1,74,895 "	15%	United States	Chicago
E01642	Mia Lam	Sr. Manger	IT	Manufacturing	Female	49	"$1,34,486 "	14%	United States	Austin
E04379	Scarlett Rodriguez	Sr. Analyst	Finance	Manufacturing	Female	60	"$71,699"	0%	Brazil	Manaus
E04131	Cora Rivera	Sr. Analyst	Marketing	Corporate	Female	42	"$94,430"	0%	United States	Seattle
E02872	Liam Jung	Manager	Finance	Corporate	Male	39	"$1,03,504 "	7%	China	Chengdu
E02331	Sophia Huynh	Enterprise Architect	IT	Manufacturing	Female	55	"$92,771"	0%	United States	Miami
E00417	Athena Carrillo	Analyst II	Finance	Speciality Products	Female	39	"$71,531"	0%	China	Columbus
E04267	Greyson Sanders	Cloud Infrastructure Architect	IT	Speciality Products	Male	28	"$90,304"	0%	United States	Chicago
E03061	Vivian Lewis	Manager	Marketing	Manufacturing	Female	65	"$1,04,903 "	10%	United States	Columbus
E00013	Elena Vang	Analyst	Finance	Corporate	Female	52	"$55,859"	0%	China	Beijing
E04265	Natalia Diaz	Operations Engineer	Engineering	Corporate	Female	62	"$79,785"	0%	United States	Austin
E04769	Mila Leung	Sr. Analyst	Marketing	Corporate	Female	39	"$99,017"	0%	China	Beijing
E03042	Ava Nelson	Systems Analyst	IT	Manufacturing	Female	63	"$53,809"	0%	United States	Phoenix
E00527	Mateo Chu	Field Engineer	Engineering	Speciality Products	Male	27	"$71,864"	0%	China	Chengdu
E01095	Isla Lai	Vice President	Finance	Corporate	Female	37	"$2,25,558 "	33%	China	Shanghai
E03131	Ezekiel Reed	Sr. Manger	IT	Manufacturing	Male	37	"$1,28,984 "	12%	United States	Miami
E01713	Nolan Guzman	Field Engineer	Engineering	Speciality Products	Male	46	"$96,997"	0%	Brazil	Sao Paulo
E00128	Everleigh Espinoza	Director	Human Resources	Manufacturing	Female	54	"$1,76,294 "	28%	United States	Austin
E03849	Evelyn Jung	Analyst	Sales	Research & Development	Female	30	"$48,340"	0%	China	Beijing
E02464	Sophie Silva	Vice President	Engineering	Corporate	Female	28	"$2,40,488 "	40%	Brazil	Rio de Janerio
E00306	Mateo Williams	Enterprise Architect	IT	Manufacturing	Male	40	"$97,339"	0%	United States	Austin
E03737	Kennedy Rahman	Vice President	Human Resources	Manufacturing	Female	49	"$2,11,291 "	37%	China	Chongqing
E02783	Levi Mendez	Vice President	Sales	Research & Development	Male	39	"$2,49,506 "	30%	Brazil	Rio de Janerio
E02939	Julian Fong	Quality Engineer	Engineering	Speciality Products	Male	61	"$80,950"	0%	China	Chongqing
E02706	Nevaeh Kang	Automation Engineer	Engineering	Research & Development	Female	46	"$86,538"	0%	China	Chengdu
E00170	Hannah Nelson	Sr. Analyst	Marketing	Speciality Products	Female	35	"$70,992"	0%	United States	Austin
E01425	Anthony Rogers	Vice President	Engineering	Corporate	Male	33	"$2,05,314 "	30%	United States	Columbus
E00130	Paisley Kang	Vice President	Human Resources	Corporate	Female	61	"$1,96,951 "	33%	China	Beijing
E02094	Matthew Gupta	Network Engineer	IT	Speciality Products	Male	45	"$67,686"	0%	China	Beijing
E03567	Silas Chavez	Technical Architect	IT	Research & Development	Male	51	"$86,431"	0%	United States	Columbus
E04682	Colton Thao	Manager	Human Resources	Manufacturing	Male	55	"$1,25,936 "	8%	China	Chongqing
E00957	Genesis Perry	Sr. Manger	Sales	Corporate	Female	46	"$1,49,712 "	14%	United States	Columbus
E04458	Alexander Bryant	Field Engineer	Engineering	Speciality Products	Male	30	"$88,758"	0%	United States	Seattle
E01499	Elias Zhang	Solutions Architect	IT	Research & Development	Male	54	"$83,639"	0%	China	Beijing
E00521	Lily Carter	Network Architect	IT	Research & Development	Female	54	"$68,268"	0%	United States	Phoenix
E03717	Joseph Ruiz	Field Engineer	Engineering	Manufacturing	Male	45	"$75,819"	0%	Brazil	Sao Paulo
E01533	Avery Bailey	Sr. Analyst	Sales	Speciality Products	Female	49	"$86,658"	0%	United States	Phoenix
E04449	Miles Hsu	Analyst	Finance	Research & Development	Male	55	"$74,552"	0%	China	Chengdu
E02855	Piper Cheng	Enterprise Architect	IT	Manufacturing	Female	62	"$82,839"	0%	United States	Miami
E00816	Skylar Watson	Network Architect	IT	Speciality Products	Female	28	"$64,475"	0%	United States	Phoenix
E02283	Jaxon Park	Network Architect	IT	Manufacturing	Male	45	"$69,453"	0%	China	Chengdu
E04888	Elijah Henry	Manager	IT	Corporate	Male	32	"$1,27,148 "	10%	United States	Miami
E03907	Camila Watson	Vice President	Finance	Speciality Products	Female	32	"$1,90,253 "	33%	United States	Austin
E02166	Lucas Thomas	Manager	Accounting	Research & Development	Male	55	"$1,15,798 "	5%	United States	Miami
E00431	Skylar Doan	Sr. Business Partner	Human Resources	Research & Development	Female	58	"$93,102"	0%	United States	Seattle
E01501	Hudson Liu	Engineering Manager	Engineering	Speciality Products	Male	34	"$1,10,054 "	15%	United States	Miami
E01141	Gianna Williams	Quality Engineer	Engineering	Research & Development	Female	27	"$95,786"	0%	United States	Chicago
E02254	Jaxson Sandoval	Sr. Analyst	Sales	Speciality Products	Male	61	"$90,855"	0%	Brazil	Sao Paulo
E04504	Jameson Alvarado	Enterprise Architect	IT	Manufacturing	Male	47	"$92,897"	0%	Brazil	Sao Paulo
E03394	Joseph Ly	Vice President	Marketing	Speciality Products	Male	40	"$2,42,919 "	31%	China	Chongqing
E02942	Daniel Richardson	Director	Engineering	Speciality Products	Male	30	"$1,84,368 "	29%	United States	Austin
E04130	Elias Figueroa	Sr. Manger	Finance	Corporate	Male	45	"$1,44,754 "	15%	United States	Phoenix
E02848	Emma Brooks	Sr. Account Representative	Sales	Research & Development	Female	30	"$89,458"	0%	United States	Austin
E00085	Isla Wong	Vice President	Accounting	Corporate	Female	56	"$1,90,815 "	40%	United States	Austin
E03956	Everly Walker	Sr. Manger	Sales	Research & Development	Female	62	"$1,37,995 "	14%	United States	Austin
E00672	Mila Pena	Sr. Business Partner	Human Resources	Manufacturing	Female	45	"$93,840"	0%	Brazil	Manaus
E04618	Mason Zhao	Technical Architect	IT	Research & Development	Male	46	"$94,790"	0%	China	Chongqing
E03506	Jaxson Mai	Vice President	Human Resources	Research & Development	Male	48	"$1,97,367 "	39%	United States	Austin
E00568	Ava Garza	Director	Accounting	Manufacturing	Female	27	"$1,74,097 "	21%	United States	Phoenix
E00535	Nathan Mendez	Manager	IT	Speciality Products	Male	53	"$1,20,128 "	10%	United States	Austin
E04630	Maria Griffin	Manager	Marketing	Manufacturing	Female	59	"$1,29,708 "	5%	United States	Miami
E00874	Alexander Choi	Manager	Marketing	Research & Development	Male	55	"$1,02,270 "	10%	United States	Chicago
E01546	Maria Hong	Vice President	Finance	Speciality Products	Female	43	"$2,49,686 "	31%	China	Chongqing
E00941	Sophie Ali	Analyst	Finance	Manufacturing	Female	55	"$50,475"	0%	United States	Columbus
E03446	Julian Ross	Manager	Marketing	Research & Development	Male	51	"$1,00,099 "	8%	United States	Miami
E01361	Emma Hill	IT Coordinator	IT	Manufacturing	Female	54	"$41,673"	0%	United States	Miami
E01631	Leilani Yee	Sr. Analyst	Marketing	Speciality Products	Female	47	"$70,996"	0%	China	Chengdu
E03719	Jack Brown	Analyst	Marketing	Corporate	Male	55	"$40,752"	0%	United States	Phoenix
E03269	Charlotte Chu	Network Engineer	IT	Manufacturing	Female	50	"$97,537"	0%	China	Chengdu
E01037	Jeremiah Chu	IT Systems Architect	IT	Reasearch & Development		31	"$96,567"	0%	China	Shanghai
E00671	Miles Cho	Systems Analyst	IT	Speciality Products	Male	47	"$49,404"	0%	China	Beijing
